n_input,mae_mm_day,rmse_mm_day,corr_spatial_mean,execution_time_s,config_id,target_type,split,replica
5,1.5604115679247916,3.6938577105225594,0.40188852188141405,35.27628183364868,config_8,fields,val,0
15,1.462788649054167,3.503074589197335,0.46581233010140216,40.4013409614563,config_8,fields,val,0
30,1.426350864981969,3.4044913069321163,0.503499217273325,42.505682945251465,config_8,fields,val,0
50,1.4035089617176773,3.335707314812736,0.5224652610168937,40.6791729927063,config_8,fields,val,0
80,1.3678675410841898,3.273850891122691,0.5461118325912382,38.64212989807129,config_8,fields,val,0
120,1.353039626357914,3.222282913775044,0.5612440974550276,39.46967387199402,config_8,fields,val,0
200,1.3337577682193835,3.1553703612401245,0.5769279378226632,43.770567893981934,config_8,fields,val,0
300,1.3447098329375717,3.1278709775718543,0.5863456388495378,47.59216904640198,config_8,fields,val,0
400,1.3385365193431156,3.1133345245288244,0.5895000343948521,49.757487773895264,config_8,fields,val,0
600,1.3640171229852247,3.1113639956542007,0.5865917319609896,57.07727789878845,config_8,fields,val,0
900,1.3825287827470154,3.114019713174936,0.5851234255918104,66.08057427406311,config_8,fields,val,0
1300,1.3912371453098504,3.1474429120184606,0.581702491639491,77.47257614135742,config_8,fields,val,0
1800,1.3874029659448666,3.1559740305362527,0.5780199997356098,105.46972990036011,config_8,fields,val,0
2300,1.3753285110455653,3.1730779249012486,0.5744869115985481,110.26468300819397,config_8,fields,val,0
2800,1.3684662942663912,3.184407518565571,0.5750945892529056,125.90146708488464,config_8,fields,val,0
